sub,t,s1,s2,r
1,1,1,6,4
1,2,5,2,10
1,3,4,6,1
1,4,1,6,4
1,5,1,6,4
1,6,1,6,4
1,7,5,6,0
1,8,1,2,4
1,9,1,6,4
1,10,5,5,0
1,11,5,4,10
1,12,1,6,4
1,13,5,5,0
1,14,5,6,0
1,15,1,6,4
1,16,1,5,4
1,17,1,5,4
1,18,1,6,4
1,19,5,5,0
1,20,1,3,4
1,21,1,2,4
1,22,4,6,1
1,23,4,6,1
1,24,1,4,4
1,25,1,3,4
1,26,5,4,10
1,27,5,2,10
1,28,5,5,0
1,29,5,5,0
1,30,1,6,4
1,31,1,2,4
1,32,3,4,2
1,33,5,6,0
1,34,5,3,10
1,35,5,5,0
1,36,4,5,1
1,37,5,5,0
1,38,5,4,10
1,39,5,2,10
1,40,5,6,0
1,41,5,4,10
1,42,5,5,0
1,43,5,4,10
1,44,5,6,0
1,45,1,6,4
1,46,1,6,4
1,47,1,2,4
1,48,5,6,0
1,49,1,4,4
1,50,1,6,4
1,51,1,2,4
1,52,4,6,1
1,53,5,2,10
1,54,5,6,0
1,55,4,3,11
1,56,5,5,0
1,57,2,2,3
1,58,4,4,1
1,59,2,6,3
1,60,1,6,4
1,61,5,3,10
1,62,5,6,0
1,63,1,6,4
1,64,1,2,4
1,65,1,6,4
1,66,5,6,0
1,67,5,6,0
1,68,5,5,0
1,69,5,4,10
1,70,5,6,0
1,71,1,6,4
1,72,1,6,4
1,73,1,6,4
1,74,1,6,4
1,75,1,2,4
1,76,1,3,4
1,77,5,6,0
1,78,5,6,0
1,79,1,6,4
1,80,1,6,4
2,1,4,6,1
2,2,5,6,0
2,3,1,6,4
2,4,1,6,4
2,5,1,5,4
2,6,1,6,4
2,7,1,2,4
2,8,3,5,2
2,9,3,4,2
2,10,5,5,0
2,11,5,5,0
2,12,5,6,0
2,13,5,3,10
2,14,1,5,4
2,15,1,6,4
2,16,1,2,4
2,17,1,5,4
2,18,1,5,4
2,19,1,4,4
2,20,1,4,4
2,21,1,2,4
2,22,1,4,4
2,23,1,5,4
2,24,1,4,4
2,25,1,2,4
2,26,1,5,4
2,27,1,2,4
2,28,1,5,4
2,29,3,6,2
2,30,3,4,2
2,31,3,5,2
2,32,3,6,2
2,33,3,6,2
2,34,3,6,2
2,35,3,2,12
2,36,1,3,4
2,37,1,5,4
2,38,1,4,4
2,39,3,2,12
2,40,1,6,4
2,41,1,5,4
2,42,1,6,4
2,43,1,4,4
2,44,1,5,4
2,45,1,6,4
2,46,3,3,2
2,47,3,2,12
2,48,1,5,4
2,49,1,6,4
2,50,1,6,4
2,51,1,6,4
2,52,1,6,4
2,53,1,6,4
2,54,1,2,4
2,55,1,5,4
2,56,3,5,2
2,57,3,2,12
2,58,1,5,4
2,59,1,3,4
2,60,1,4,4
2,61,1,6,4
2,62,1,5,4
2,63,1,2,4
2,64,1,4,4
2,65,1,6,4
2,66,1,6,4
2,67,3,6,2
2,68,1,6,4
2,69,3,6,2
2,70,3,6,2
2,71,1,5,4
2,72,1,2,4
2,73,1,6,4
2,74,1,2,4
2,75,1,6,4
2,76,3,3,2
2,77,3,6,2
2,78,3,2,12
2,79,1,6,4
2,80,1,6,4
3,1,3,6,2
3,2,5,5,0
3,3,5,5,0
3,4,5,6,0
3,5,5,5,0
3,6,5,5,0
3,7,5,2,10
3,8,1,4,4
3,9,5,5,0
3,10,3,5,2
3,11,2,2,3
3,12,3,5,2
3,13,3,6,2
3,14,4,5,1
3,15,5,2,10
3,16,2,6,3
3,17,2,5,3
3,18,3,6,2
3,19,3,6,2
3,20,5,5,0
3,21,3,6,2
3,22,4,6,1
3,23,4,6,1
3,24,3,5,2
3,25,5,4,10
3,26,2,2,3
3,27,3,5,2
3,28,3,5,2
3,29,3,5,2
3,30,3,6,2
3,31,3,4,2
3,32,3,6,2
3,33,3,5,2
3,34,3,4,2
3,35,5,5,0
3,36,5,4,10
3,37,1,3,4
3,38,4,6,1
3,39,3,5,2
3,40,4,6,1
3,41,3,6,2
3,42,3,6,2
3,43,4,6,1
3,44,5,5,0
3,45,5,5,0
3,46,5,5,0
3,47,5,3,10
3,48,1,6,4
3,49,1,2,4
3,50,4,6,1
3,51,1,2,4
3,52,1,6,4
3,53,4,6,1
3,54,4,2,11
3,55,1,6,4
3,56,1,2,4
3,57,4,6,1
3,58,4,6,1
3,59,3,2,12
3,60,1,5,4
3,61,1,4,4
3,62,4,5,1
3,63,1,2,4
3,64,3,5,2
3,65,3,4,2
3,66,3,6,2
3,67,3,6,2
3,68,3,5,2
3,69,3,5,2
3,70,1,6,4
3,71,1,6,4
3,72,3,6,2
3,73,5,2,10
3,74,3,6,2
3,75,3,6,2
3,76,3,5,2
3,77,3,6,2
3,78,3,6,2
3,79,5,6,0
3,80,5,3,10
4,1,5,6,0
4,2,5,5,0
4,3,5,5,0
4,4,1,6,4
4,5,1,6,4
4,6,1,5,4
4,7,1,2,4
4,8,1,5,4
4,9,1,6,4
4,10,1,4,4
4,11,1,5,4
4,12,1,4,4
4,13,1,5,4
4,14,1,5,4
4,15,1,4,4
4,16,1,6,4
4,17,1,2,4
4,18,1,6,4
4,19,1,4,4
4,20,1,6,4
4,21,1,2,4
4,22,1,6,4
4,23,1,2,4
4,24,1,2,4
4,25,5,6,0
4,26,5,2,10
4,27,5,4,10
4,28,5,3,10
4,29,5,6,0
4,30,5,6,0
4,31,5,6,0
4,32,1,4,4
4,33,1,5,4
4,34,1,4,4
4,35,1,4,4
4,36,5,5,0
4,37,1,2,4
4,38,1,3,4
4,39,5,4,10
4,40,5,6,0
4,41,5,5,0
4,42,5,6,0
4,43,5,6,0
4,44,1,6,4
4,45,1,6,4
4,46,1,2,4
4,47,1,6,4
4,48,1,2,4
4,49,1,6,4
4,50,1,6,4
4,51,1,6,4
4,52,1,6,4
4,53,1,5,4
4,54,1,2,4
4,55,1,5,4
4,56,1,6,4
4,57,1,4,4
4,58,1,4,4
4,59,1,3,4
4,60,1,5,4
4,61,1,6,4
4,62,1,5,4
4,63,1,6,4
4,64,1,6,4
4,65,1,4,4
4,66,1,4,4
4,67,1,6,4
4,68,1,3,4
4,69,1,4,4
4,70,1,6,4
4,71,1,6,4
4,72,1,5,4
4,73,1,5,4
4,74,1,4,4
4,75,1,5,4
4,76,1,6,4
4,77,1,6,4
4,78,1,6,4
4,79,1,5,4
4,80,1,5,4
5,1,5,2,10
5,2,5,4,10
5,3,5,5,0
5,4,5,2,10
5,5,5,6,0
5,6,5,5,0
5,7,5,6,0
5,8,4,2,11
5,9,4,3,11
5,10,4,6,1
5,11,5,4,10
5,12,5,5,0
5,13,5,3,10
5,14,5,5,0
5,15,5,6,0
5,16,5,6,0
5,17,4,2,11
5,18,4,4,1
5,19,4,6,1
5,20,5,2,10
5,21,5,5,0
5,22,5,4,10
5,23,5,5,0
5,24,5,6,0
5,25,4,3,11
5,26,4,6,1
5,27,5,5,0
5,28,2,6,3
5,29,5,4,10
5,30,5,5,0
5,31,5,2,10
5,32,5,6,0
5,33,5,5,0
5,34,4,5,1
5,35,5,4,10
5,36,4,6,1
5,37,5,5,0
5,38,1,6,4
5,39,5,6,0
5,40,1,5,4
5,41,1,5,4
5,42,1,4,4
5,43,5,3,10
5,44,1,6,4
5,45,5,4,10
5,46,1,6,4
5,47,5,2,10
5,48,1,6,4
5,49,5,5,0
5,50,1,6,4
5,51,5,6,0
5,52,1,6,4
5,53,1,6,4
5,54,1,5,4
5,55,1,6,4
5,56,1,6,4
5,57,1,6,4
5,58,1,6,4
5,59,1,2,4
5,60,5,5,0
5,61,1,3,4
5,62,5,6,0
5,63,1,2,4
5,64,1,4,4
5,65,5,6,0
5,66,5,2,10
5,67,5,6,0
5,68,1,6,4
5,69,1,5,4
5,70,1,2,4
5,71,1,6,4
5,72,5,6,0
5,73,1,2,4
5,74,5,1,10
5,75,5,5,0
5,76,5,4,10
5,77,1,5,4
5,78,5,6,0
5,79,1,6,4
5,80,5,3,10
6,1,5,6,0
6,2,5,6,0
6,3,5,6,0
6,4,1,6,4
6,5,5,6,0
6,6,2,6,3
6,7,5,5,0
6,8,1,5,4
6,9,5,3,10
6,10,5,3,10
6,11,5,5,0
6,12,5,6,0
6,13,5,6,0
6,14,5,5,0
6,15,5,4,10
6,16,5,6,0
6,17,5,6,0
6,18,5,5,0
6,19,5,4,10
6,20,5,5,0
6,21,5,2,10
6,22,5,5,0
6,23,5,6,0
6,24,5,6,0
6,25,5,4,10
6,26,5,6,0
6,27,5,2,10
6,28,5,3,10
6,29,5,5,0
6,30,5,4,10
6,31,5,5,0
6,32,5,6,0
6,33,5,5,0
6,34,5,4,10
6,35,5,5,0
6,36,5,6,0
6,37,5,5,0
6,38,5,5,0
6,39,5,3,10
6,40,5,5,0
6,41,5,5,0
6,42,5,6,0
6,43,5,6,0
6,44,5,6,0
6,45,5,2,10
6,46,5,6,0
6,47,4,2,11
6,48,5,6,0
6,49,5,6,0
6,50,5,6,0
6,51,5,6,0
6,52,5,6,0
6,53,5,6,0
6,54,5,5,0
6,55,4,2,11
6,56,4,4,1
6,57,4,5,1
6,58,4,4,1
6,59,3,6,2
6,60,4,5,1
6,61,5,6,0
6,62,5,6,0
6,63,5,2,10
6,64,5,6,0
6,65,5,6,0
6,66,5,4,10
6,67,5,2,10
6,68,5,5,0
6,69,5,5,0
6,70,5,6,0
6,71,5,6,0
6,72,5,6,0
6,73,5,2,10
6,74,5,6,0
6,75,5,6,0
6,76,5,3,10
6,77,5,6,0
6,78,5,6,0
6,79,5,6,0
6,80,5,5,0
8,1,1,4,4
8,2,4,5,1
8,3,5,5,0
8,4,2,6,3
8,5,2,5,3
8,6,2,6,3
8,7,4,6,1
8,8,2,6,3
8,9,3,6,2
8,10,2,2,3
8,11,5,3,10
8,12,2,5,3
8,13,5,2,10
8,14,2,5,3
8,15,5,5,0
8,16,2,6,3
8,17,5,3,10
8,18,2,5,3
8,19,5,4,10
8,20,2,3,3
8,21,5,2,10
8,22,2,6,3
8,23,5,5,0
8,24,5,5,0
8,25,2,4,3
8,26,2,2,3
8,27,2,2,3
8,28,2,2,3
8,29,5,6,0
8,30,2,2,3
8,31,2,2,3
8,32,2,6,3
8,33,5,2,10
8,34,2,5,3
8,35,2,6,3
8,36,5,3,10
8,37,2,5,3
8,38,5,6,0
8,39,5,3,10
8,40,2,3,3
8,41,2,4,3
8,42,2,4,3
8,43,5,6,0
8,44,5,6,0
8,45,5,6,0
8,46,2,6,3
8,47,2,3,3
